Country Name,Country Code,Year,GDP,GDP_per_capita
Australia,AUS,1960,18606786874,1811
China,CHN,1960,59716467625,90
United Kingdom,GBR,1960,73233967692,1398
India,IND,1960,37029883876,82
Japan,JPN,1960,44307342950,475
Russian Federation,RUS,1960,,
United States,USA,1960,5.43E+11,3007
Australia,AUS,1961,19683055213,1878
China,CHN,1961,50056868958,76
United Kingdom,GBR,1961,77741965703,1472
India,IND,1961,39232435784,85
Japan,JPN,1961,53508617739,569
Russian Federation,RUS,1961,,
United States,USA,1961,5.63E+11,3067
Australia,AUS,1962,19922723709,1855
China,CHN,1962,47209359006,71
United Kingdom,GBR,1962,81247564157,1526
India,IND,1962,42161481858,90
Japan,JPN,1962,60723018684,640
Russian Federation,RUS,1962,,
United States,USA,1962,6.05E+11,3244
Australia,AUS,1963,21539926084,1967
China,CHN,1963,50706799903,74
United Kingdom,GBR,1963,86561961812,1613
India,IND,1963,48421923459,101
Japan,JPN,1963,69498131797,725
Russian Federation,RUS,1963,,
United States,USA,1963,6.39E+11,3375
Australia,AUS,1964,23801097547,2131
China,CHN,1964,59708343489,85
United Kingdom,GBR,1964,94407558351,1748
India,IND,1964,56480289941,116
Japan,JPN,1964,81749006382,844
Russian Federation,RUS,1964,,
United States,USA,1964,6.86E+11,3574
Australia,AUS,1965,25977153097,2281
China,CHN,1965,70436266147,98
United Kingdom,GBR,1965,1.02E+11,1874
India,IND,1965,59554854576,119
Japan,JPN,1965,90950278258,929
Russian Federation,RUS,1965,,
United States,USA,1965,7.44E+11,3828
Australia,AUS,1966,27309889125,2344
China,CHN,1966,76720285970,104
United Kingdom,GBR,1966,1.09E+11,1987
India,IND,1966,45865462034,90
Japan,JPN,1966,1.06E+11,1069
Russian Federation,RUS,1966,,
United States,USA,1966,8.15E+11,4146
Australia,AUS,1967,30444618658,2580
China,CHN,1967,72881631327,97
United Kingdom,GBR,1967,1.13E+11,2059
India,IND,1967,50134942204,96
Japan,JPN,1967,1.24E+11,1239
Russian Federation,RUS,1967,,
United States,USA,1967,8.62E+11,4336
Australia,AUS,1968,32716989584,2724
China,CHN,1968,70846535056,91
United Kingdom,GBR,1968,1.08E+11,1952
India,IND,1968,53085455871,100
Japan,JPN,1968,1.47E+11,1451
Russian Federation,RUS,1968,,
United States,USA,1968,9.43E+11,4696
Australia,AUS,1969,36686079068,2992
China,CHN,1969,79705906247,100
United Kingdom,GBR,1969,1.16E+11,2101
India,IND,1969,58447995017,108
Japan,JPN,1969,1.72E+11,1685
Russian Federation,RUS,1969,,
United States,USA,1969,1.02E+12,5032
Australia,AUS,1970,41337215814,3305
China,CHN,1970,92602973434,113
United Kingdom,GBR,1970,1.31E+11,2348
India,IND,1970,62422483055,112
Japan,JPN,1970,2.13E+11,2056
Russian Federation,RUS,1970,,
United States,USA,1970,1.07E+12,5234
Australia,AUS,1971,45222309329,3496
China,CHN,1971,99800958648,119
United Kingdom,GBR,1971,1.48E+11,2650
India,IND,1971,67350988021,119
Japan,JPN,1971,2.40E+11,2272
Russian Federation,RUS,1971,,
United States,USA,1971,1.16E+12,5609
Australia,AUS,1972,52051401869,3950
China,CHN,1972,1.14E+11,132
United Kingdom,GBR,1972,1.70E+11,3030
India,IND,1972,71463193831,123
Japan,JPN,1972,3.18E+11,2967
Russian Federation,RUS,1972,,
United States,USA,1972,1.28E+12,6094
Australia,AUS,1973,63844971172,4772
China,CHN,1973,1.39E+11,157
United Kingdom,GBR,1973,1.93E+11,3426
India,IND,1973,85515269585,144
Japan,JPN,1973,4.32E+11,3975
Russian Federation,RUS,1973,,
United States,USA,1973,1.43E+12,6726
Australia,AUS,1974,88981577008,6484
China,CHN,1974,1.44E+11,160
United Kingdom,GBR,1974,2.06E+11,3666
India,IND,1974,99525899116,163
Japan,JPN,1974,4.80E+11,4354
Russian Federation,RUS,1974,,
United States,USA,1974,1.55E+12,7226
Australia,AUS,1975,97333060221,7006
China,CHN,1975,1.63E+11,178
United Kingdom,GBR,1975,2.42E+11,4300
India,IND,1975,98472796457,158
Japan,JPN,1975,5.22E+11,4674
Russian Federation,RUS,1975,,
United States,USA,1975,1.68E+12,7801
Australia,AUS,1976,1.05E+11,7490
China,CHN,1976,1.54E+11,165
United Kingdom,GBR,1976,2.33E+11,4138
India,IND,1976,1.03E+11,161
Japan,JPN,1976,5.86E+11,5198
Russian Federation,RUS,1976,,
United States,USA,1976,1.87E+12,8592
Australia,AUS,1977,1.10E+11,7778
China,CHN,1977,1.75E+11,185
United Kingdom,GBR,1977,2.63E+11,4681
India,IND,1977,1.21E+11,186
Japan,JPN,1977,7.21E+11,6335
Russian Federation,RUS,1977,,
United States,USA,1977,2.08E+12,9453
Australia,AUS,1978,1.19E+11,8256
China,CHN,1978,1.50E+11,156
United Kingdom,GBR,1978,3.36E+11,5977
India,IND,1978,1.37E+11,206
Japan,JPN,1978,1.01E+12,8821
Russian Federation,RUS,1978,,
United States,USA,1978,2.35E+12,10565
Australia,AUS,1979,1.35E+11,9297
China,CHN,1979,1.78E+11,184
United Kingdom,GBR,1979,4.39E+11,7805
India,IND,1979,1.53E+11,224
Japan,JPN,1979,1.06E+12,9104
Russian Federation,RUS,1979,,
United States,USA,1979,2.63E+12,11674
Australia,AUS,1980,1.50E+11,10212
China,CHN,1980,1.91E+11,195
United Kingdom,GBR,1980,5.65E+11,10032
India,IND,1980,1.86E+11,267
Japan,JPN,1980,1.11E+12,9463
Russian Federation,RUS,1980,,
United States,USA,1980,2.86E+12,12575
Australia,AUS,1981,1.77E+11,11855
China,CHN,1981,1.96E+11,197
United Kingdom,GBR,1981,5.41E+11,9599
India,IND,1981,1.93E+11,270
Japan,JPN,1981,1.22E+12,10360
Russian Federation,RUS,1981,,
United States,USA,1981,3.21E+12,13976
Australia,AUS,1982,1.94E+11,12789
China,CHN,1982,2.05E+11,203
United Kingdom,GBR,1982,5.15E+11,9146
India,IND,1982,2.01E+11,274
Japan,JPN,1982,1.13E+12,9576
Russian Federation,RUS,1982,,
United States,USA,1982,3.34E+12,14434
Australia,AUS,1983,1.77E+11,11538
China,CHN,1983,2.31E+11,225
United Kingdom,GBR,1983,4.90E+11,8692
India,IND,1983,2.18E+11,291
Japan,JPN,1983,1.24E+12,10421
Russian Federation,RUS,1983,,
United States,USA,1983,3.63E+12,15544
Australia,AUS,1984,1.94E+11,12455
China,CHN,1984,2.60E+11,251
United Kingdom,GBR,1984,4.61E+11,8179
India,IND,1984,2.12E+11,277
Japan,JPN,1984,1.32E+12,10979
Russian Federation,RUS,1984,,
United States,USA,1984,4.04E+12,17121
Australia,AUS,1985,1.81E+11,11459
China,CHN,1985,3.09E+11,294
United Kingdom,GBR,1985,4.89E+11,8652
India,IND,1985,2.33E+11,296
Japan,JPN,1985,1.40E+12,11577
Russian Federation,RUS,1985,,
United States,USA,1985,4.34E+12,18237
Australia,AUS,1986,1.82E+11,11385
China,CHN,1986,3.01E+11,282
United Kingdom,GBR,1986,6.01E+11,10611
India,IND,1986,2.49E+11,310
Japan,JPN,1986,2.08E+12,17113
Russian Federation,RUS,1986,,
United States,USA,1986,4.58E+12,19071
Australia,AUS,1987,1.89E+11,11645
China,CHN,1987,2.73E+11,252
United Kingdom,GBR,1987,7.45E+11,13119
India,IND,1987,2.79E+11,340
Japan,JPN,1987,2.53E+12,20749
Russian Federation,RUS,1987,,
United States,USA,1987,4.86E+12,20039
Australia,AUS,1988,2.36E+11,14279
China,CHN,1988,3.12E+11,284
United Kingdom,GBR,1988,9.10E+11,15987
India,IND,1988,2.97E+11,354
Japan,JPN,1988,3.07E+12,25059
Russian Federation,RUS,1988,5.55E+11,3777
United States,USA,1988,5.24E+12,21417
Australia,AUS,1989,3.00E+11,17828
China,CHN,1989,3.48E+11,311
United Kingdom,GBR,1989,9.27E+11,16239
India,IND,1989,2.96E+11,346
Japan,JPN,1989,3.05E+12,24823
Russian Federation,RUS,1989,5.07E+11,3429
United States,USA,1989,5.64E+12,22857
Australia,AUS,1990,3.11E+11,18243
China,CHN,1990,3.61E+11,318
United Kingdom,GBR,1990,1.09E+12,19095
India,IND,1990,3.21E+11,368
Japan,JPN,1990,3.13E+12,25371
Russian Federation,RUS,1990,5.17E+11,3493
United States,USA,1990,5.96E+12,23889
Australia,AUS,1991,3.26E+11,18856
China,CHN,1991,3.83E+11,333
United Kingdom,GBR,1991,1.14E+12,19901
India,IND,1991,2.70E+11,303
Japan,JPN,1991,3.58E+12,28915
Russian Federation,RUS,1991,5.18E+11,3490
United States,USA,1991,6.16E+12,24342
Australia,AUS,1992,3.25E+11,18604
China,CHN,1992,4.27E+11,366
United Kingdom,GBR,1992,1.18E+12,20487
India,IND,1992,2.88E+11,317
Japan,JPN,1992,3.91E+12,31415
Russian Federation,RUS,1992,4.60E+11,3099
United States,USA,1992,6.52E+12,25419
Australia,AUS,1993,3.12E+11,17667
China,CHN,1993,4.45E+11,377
United Kingdom,GBR,1993,1.06E+12,18389
India,IND,1993,2.79E+11,301
Japan,JPN,1993,4.45E+12,35682
Russian Federation,RUS,1993,4.35E+11,2931
United States,USA,1993,6.86E+12,26387
Australia,AUS,1994,3.23E+11,18079
China,CHN,1994,5.64E+11,473
United Kingdom,GBR,1994,1.14E+12,19709
India,IND,1994,3.27E+11,346
Japan,JPN,1994,5.00E+12,39934
Russian Federation,RUS,1994,3.95E+11,2662
United States,USA,1994,7.29E+12,27695
Australia,AUS,1995,3.68E+11,20358
China,CHN,1995,7.35E+11,610
United Kingdom,GBR,1995,1.35E+12,23207
India,IND,1995,3.60E+11,374
Japan,JPN,1995,5.55E+12,44198
Russian Federation,RUS,1995,3.96E+11,2666
United States,USA,1995,7.64E+12,28691
Australia,AUS,1996,4.01E+11,21904
China,CHN,1996,8.64E+11,709
United Kingdom,GBR,1996,1.42E+12,24439
India,IND,1996,3.93E+11,400
Japan,JPN,1996,4.92E+12,39150
Russian Federation,RUS,1996,3.92E+11,2644
United States,USA,1996,8.07E+12,29968
Australia,AUS,1997,4.35E+11,23509
China,CHN,1997,9.62E+11,782
United Kingdom,GBR,1997,1.56E+12,26743
India,IND,1997,4.16E+11,415
Japan,JPN,1997,4.49E+12,35638
Russian Federation,RUS,1997,4.05E+11,2738
United States,USA,1997,8.58E+12,31459
Australia,AUS,1998,3.99E+11,21346
China,CHN,1998,1.03E+12,829
United Kingdom,GBR,1998,1.65E+12,28269
India,IND,1998,4.21E+11,413
Japan,JPN,1998,4.10E+12,32424
Russian Federation,RUS,1998,2.71E+11,1835
United States,USA,1998,9.06E+12,32854
Australia,AUS,1999,3.89E+11,20559
China,CHN,1999,1.09E+12,873
United Kingdom,GBR,1999,1.69E+12,28727
India,IND,1999,4.59E+11,442
Japan,JPN,1999,4.64E+12,36610
Russian Federation,RUS,1999,1.96E+11,1331
United States,USA,1999,9.63E+12,34515
Australia,AUS,2000,4.16E+11,21698
China,CHN,2000,1.21E+12,959
United Kingdom,GBR,2000,1.66E+12,28223
India,IND,2000,4.68E+11,443
Japan,JPN,2000,4.97E+12,39169
Russian Federation,RUS,2000,2.60E+11,1772
United States,USA,2000,1.03E+13,36330
Australia,AUS,2001,3.79E+11,19527
China,CHN,2001,1.34E+12,1053
United Kingdom,GBR,2001,1.64E+12,27806
India,IND,2001,4.85E+11,452
Japan,JPN,2001,4.37E+12,34406
Russian Federation,RUS,2001,3.07E+11,2100
United States,USA,2001,1.06E+13,37134
Australia,AUS,2002,3.95E+11,20118
China,CHN,2002,1.47E+12,1149
United Kingdom,GBR,2002,1.78E+12,30050
India,IND,2002,5.15E+11,471
Japan,JPN,2002,4.18E+12,32821
Russian Federation,RUS,2002,3.45E+11,2378
United States,USA,2002,1.09E+13,37998
Australia,AUS,2003,4.67E+11,23492
China,CHN,2003,1.66E+12,1289
United Kingdom,GBR,2003,2.06E+12,34487
India,IND,2003,6.08E+11,547
Japan,JPN,2003,4.52E+12,35387
Russian Federation,RUS,2003,4.30E+11,2975
United States,USA,2003,1.15E+13,39490
Australia,AUS,2004,6.14E+11,30514
China,CHN,2004,1.96E+12,1509
United Kingdom,GBR,2004,2.42E+12,40372
India,IND,2004,7.09E+11,628
Japan,JPN,2004,4.89E+12,38299
Russian Federation,RUS,2004,5.91E+11,4102
United States,USA,2004,1.22E+13,41725
Australia,AUS,2005,6.95E+11,34081
China,CHN,2005,2.29E+12,1753
United Kingdom,GBR,2005,2.54E+12,42132
India,IND,2005,8.20E+11,715
Japan,JPN,2005,4.83E+12,37813
Russian Federation,RUS,2005,7.64E+11,5323
United States,USA,2005,1.30E+13,44123
Australia,AUS,2006,7.48E+11,36117
China,CHN,2006,2.75E+12,2099
United Kingdom,GBR,2006,2.72E+12,44654
India,IND,2006,9.40E+11,807
Japan,JPN,2006,4.60E+12,35992
Russian Federation,RUS,2006,9.90E+11,6920
United States,USA,2006,1.38E+13,46302
Australia,AUS,2007,8.54E+11,41001
China,CHN,2007,3.55E+12,2694
United Kingdom,GBR,2007,3.11E+12,50653
India,IND,2007,1.22E+12,1028
Japan,JPN,2007,4.58E+12,35779
Russian Federation,RUS,2007,1.30E+12,9101
United States,USA,2007,1.45E+13,48050
Australia,AUS,2008,1.06E+12,49655
China,CHN,2008,4.59E+12,3468
United Kingdom,GBR,2008,2.94E+12,47549
India,IND,2008,1.20E+12,999
Japan,JPN,2008,5.11E+12,39876
Russian Federation,RUS,2008,1.66E+12,11635
United States,USA,2008,1.48E+13,48570
Australia,AUS,2009,9.28E+11,42783
China,CHN,2009,5.10E+12,3832
United Kingdom,GBR,2009,2.43E+12,38952
India,IND,2009,1.34E+12,1102
Japan,JPN,2009,5.29E+12,41309
Russian Federation,RUS,2009,1.22E+12,8563
United States,USA,2009,1.45E+13,47195
Australia,AUS,2010,1.15E+12,52088
China,CHN,2010,6.09E+12,4550
United Kingdom,GBR,2010,2.49E+12,39689
India,IND,2010,1.68E+12,1358
Japan,JPN,2010,5.76E+12,44968
Russian Federation,RUS,2010,1.52E+12,10675
United States,USA,2010,1.50E+13,48651
Australia,AUS,2011,1.40E+12,62574
China,CHN,2011,7.55E+12,5614
United Kingdom,GBR,2011,2.67E+12,42285
India,IND,2011,1.82E+12,1458
Japan,JPN,2011,6.23E+12,48760
Russian Federation,RUS,2011,2.05E+12,14311
United States,USA,2011,1.56E+13,50066
Australia,AUS,2012,1.55E+12,68028
China,CHN,2012,8.53E+12,6301
United Kingdom,GBR,2012,2.72E+12,42687
India,IND,2012,1.83E+12,1444
Japan,JPN,2012,6.27E+12,49145
Russian Federation,RUS,2012,2.21E+12,15421
United States,USA,2012,1.63E+13,51784
Australia,AUS,2013,1.58E+12,68157
China,CHN,2013,9.57E+12,7020
United Kingdom,GBR,2013,2.80E+12,43714
India,IND,2013,1.86E+12,1450
Japan,JPN,2013,5.21E+12,40899
Russian Federation,RUS,2013,2.29E+12,15975
United States,USA,2013,1.68E+13,53291
Australia,AUS,2014,1.47E+12,62512
China,CHN,2014,1.05E+13,7636
United Kingdom,GBR,2014,3.09E+12,47787
India,IND,2014,2.04E+12,1574
Japan,JPN,2014,4.90E+12,38475
Russian Federation,RUS,2014,2.06E+12,14096
United States,USA,2014,1.76E+13,55124
Australia,AUS,2015,1.35E+12,56707
China,CHN,2015,1.11E+13,8016
United Kingdom,GBR,2015,2.96E+12,45405
India,IND,2015,2.10E+12,1606
Japan,JPN,2015,4.44E+12,34961
Russian Federation,RUS,2015,1.36E+12,9313
United States,USA,2015,1.82E+13,56763
Australia,AUS,2016,1.21E+12,49882
China,CHN,2016,1.12E+13,8094
United Kingdom,GBR,2016,2.72E+12,41500
India,IND,2016,2.29E+12,1733
Japan,JPN,2016,5.00E+12,39375
Russian Federation,RUS,2016,1.28E+12,8705
United States,USA,2016,1.87E+13,57867
Australia,AUS,2017,1.33E+12,53934
China,CHN,2017,1.23E+13,8817
United Kingdom,GBR,2017,2.70E+12,40858
India,IND,2017,2.65E+12,1981
Japan,JPN,2017,4.93E+12,38834
Russian Federation,RUS,2017,1.57E+12,10720
United States,USA,2017,1.95E+13,59915
Australia,AUS,2018,1.43E+12,57181
China,CHN,2018,1.39E+13,9905
United Kingdom,GBR,2018,2.90E+12,43647
India,IND,2018,2.70E+12,1998
Japan,JPN,2018,5.04E+12,39727
Russian Federation,RUS,2018,1.66E+12,11287
United States,USA,2018,2.05E+13,62805
Australia,AUS,2019,1.39E+12,54875
China,CHN,2019,1.43E+13,10144
United Kingdom,GBR,2019,2.88E+12,43070
India,IND,2019,2.83E+12,2072
Japan,JPN,2019,5.12E+12,40458
Russian Federation,RUS,2019,1.69E+12,11536
United States,USA,2019,2.14E+13,65095
Australia,AUS,2020,1.33E+12,51680
China,CHN,2020,1.47E+13,10409
United Kingdom,GBR,2020,2.76E+12,41098
India,IND,2020,2.67E+12,1933
Japan,JPN,2020,5.04E+12,39918
Russian Federation,RUS,2020,1.49E+12,10162
United States,USA,2020,2.09E+13,63028
Australia,AUS,2021,1.54E+12,59934
China,CHN,2021,1.77E+13,12556
United Kingdom,GBR,2021,3.19E+12,47334
India,IND,2021,3.17E+12,2277
Japan,JPN,2021,4.94E+12,39285
Russian Federation,RUS,2021,1.78E+12,12173
United States,USA,2021,2.30E+13,69288